bank_id,bank_name,quarter_end_date,total_assets,total_loans,allowance_for_credit_losses,noncurrent_loans,net_charge_offs,deposits,tier1_capital,risk_weighted_assets,total_equity_capital,net_income
6638,CITIZENS NB MCCONNELSVILLE,2025-12-31,109107,75494,0.974592389522148,2.090848275771607,0.16161700419422192,88106,0,0,11312,1157
6646,1ST NATIONAL BANK,2025-12-31,265411,182657,1.1425138552130238,0.6094128853481122,0.04561950259364813,232607,13.79942556790446,13.79942556790446,22892,1766
6653,PARK NATIONAL BANK,2025-12-31,9742967,7958154,1.1547824298387046,0.8607242191062194,0.09644310670156064,8344022,12.08311894397694,12.08311894397694,1181597,186683
6659,PEOPLES STATE BANK,2025-12-31,279867,208235,0.659297671467486,0.17412709847006683,0.04953678055408405,255327,13.276897390081723,13.276897390081723,23017,2503
6662,RIVERHILLS BANK,2025-12-31,343601,268572,1.3502394875260793,0.15537304222620552,-0.00639604137712038,307156,13.083225626025108,13.083225626025108,34104,4164
6671,FIRST NB OF PANDORA,2025-12-31,288700,190198,1.2958301979812656,0.10846155842133942,0.16970126253523146,265857,11.180470845041905,11.180470845041905,20360,1666
6672,FIFTH THIRD BANK NA,2025-12-31,213730000,121131000,1.8260066134993191,0.8607274849251119,0.6017347572758538,175203000,13.091133923394674,13.091133923394674,24648000,2848000
6680,HOME NATIONAL BANK,2025-12-31,89914,55336,1.6878086913264398,2.26166364637743,0.27711231093789107,78712,0,0,8750,544
6700,SOMERVILLE BANK,2025-12-31,286742,204450,1.064123223436842,1.1333226872619755,0.03736271725915185,257775,0,0,21690,1609
6706,FIRST NB OF SYCAMORE,2025-12-31,233026,143234,1.060993299716792,0.03453754230848933,0.00294779600662074,202707,15.200932245713334,15.200932245713334,19453,2423
6725,FIRST NB OF WAVERLY,2025-12-31,196173,93027,0.8631989513731256,3.330242867951874,-0.16156080003272116,172939,20.560726600707667,20.560726600707667,18246,538
6728,NATIONAL BK ADAMS CNTY W UNI,2025-12-31,109074,54921,1.377316477517598,2.3488004597040657,0,96424,0,0,12239,2468
6732,CITIZENS NB OF WOODSFIELD,2025-12-31,155166,62814,0.6437734297148099,0.3701301782635517,0.01495936040423516,137148,22.215870880968392,22.215870880968392,11224,1188
6760,CITIZENS BANK OF WEST VA INC,2025-12-31,704628,553532,1.0265112029366696,0.4155394592622923,0.2693779542543271,620730,11.649191979625398,11.649191979625398,72953,10870
6762,FAYETTE CNTY NB FAYETTEVILLE,2025-12-31,154554,70238,1.1678955366691055,1.0046715821466763,0.05074811174734206,132335,21.27949802209794,21.27949802209794,10987,821
6786,MOUNTAIN VALLEY BANK N A,2025-12-31,199013,121909,1.2226741642223986,0.25685070249072256,0.03620713774347243,173319,0,0,24806,3018
6787,FIRST NB OF PETERSTOWN,2025-12-31,84072,37814,1.459321415541773,2.027414395163392,0.00525668387354521,73457,27.74172154057511,27.74172154057511,10560,833
6794,FNB BANK INC,2025-12-31,273991,205358,1.038012259531979,0.4332279579012298,0.16190526962163526,241558,0,0,24824,2274
